Serial.No,CHELSA_tasmax_01_1981.2010,CHELSA_tasmax_02_1981.2010,CHELSA_tasmax_03_1981.2010,CHELSA_tasmax_04_1981.2010,CHELSA_tasmax_05_1981.2010,CHELSA_tasmax_06_1981.2010,CHELSA_tasmax_07_1981.2010,CHELSA_tasmax_08_1981.2010,CHELSA_tasmax_09_1981.2010,CHELSA_tasmax_10_1981.2010,CHELSA_tasmax_11_1981.2010,CHELSA_tasmax_12_1981.2010,CHELSA_tas_01_1981.2010,CHELSA_tas_02_1981.2010,CHELSA_tas_03_1981.2010,CHELSA_tas_04_1981.2010,CHELSA_tas_05_1981.2010,CHELSA_tas_06_1981.2010,CHELSA_tas_07_1981.2010,CHELSA_tas_08_1981.2010,CHELSA_tas_09_1981.2010,CHELSA_tas_10_1981.2010,CHELSA_tas_11_1981.2010,CHELSA_tas_12_1981.2010,CHELSA_tasmin_01_1981.2010,CHELSA_tasmin_02_1981.2010,CHELSA_tasmin_03_1981.2010,CHELSA_tasmin_04_1981.2010,CHELSA_tasmin_05_1981.2010,CHELSA_tasmin_06_1981.2010,CHELSA_tasmin_07_1981.2010,CHELSA_tasmin_08_1981.2010,CHELSA_tasmin_12_1981.2010,CHELSA_tasmin_11_1981.2010,CHELSA_tasmin_10_1981.2010,CHELSA_tasmin_09_1981.2010,CHELSA_hurs_01_1981-2010,CHELSA_hurs_02_1981-2010,CHELSA_hurs_03_1981-2010,CHELSA_hurs_04_1981-2010,CHELSA_hurs_05_1981-2010,CHELSA_hurs_06_1981-2010,CHELSA_hurs_07_1981-2010,CHELSA_hurs_08_1981-2010,CHELSA_hurs_09_1981-2010,CHELSA_hurs_10_1981-2010,CHELSA_hurs_11_1981-2010,CHELSA_hurs_12_1981-2010,CHELSA_pr_01_1981-2010,CHELSA_pr_02_1981-2010,CHELSA_pr_03_1981-2010,CHELSA_pr_04_1981-2010,CHELSA_pr_05_1981-2010,CHELSA_pr_06_1981-2010,CHELSA_pr_07_1981-2010,CHELSA_pr_08_1981-2010,CHELSA_pr_09_1981-2010,CHELSA_pr_10_1981-2010,CHELSA_pr_11_1981-2010,CHELSA_pr_12_1981-2010,CHELSA_fcf_1981-2010
893048,5.15,5.65,7.75,10.05,12.95,15.55,17.75,17.35,14.85,11.35,7.65,5.25,3.75,3.95,5.55,7.35,10.05,12.85,14.95,14.65,12.35,9.35,6.15,3.85,0.65,0.65,1.65,2.95,5.65,8.65,10.65,10.55,0.85,3.05,6.05,8.65,68.07,65.91,64.36,63.39,63.07,63.09,63.36,63.98,64.87,66.62,68.22,68.66,87,62.9,70.4,61.7,64.9,73.8,77.8,80.3,80.6,96.3,92.3,86.8,NA
894492,7.55,7.55,9.85,12.25,15.55,18.25,20.45,20.35,17.85,14.25,10.45,7.85,5.55,5.35,7.15,8.95,12.25,15.05,17.15,17.05,14.75,11.75,8.35,5.95,3.05,2.65,3.85,5.15,8.35,11.15,13.25,13.35,3.55,5.75,9.05,11.55,67.28,65.37,63.69,61.73,61.37,61.25,61.32,61.79,62.89,64.78,66.72,68.04,90,65.3,70.6,59.4,58.2,54,52,54.9,70.9,105.7,105.9,101.1,NA
895732,6.55,6.45,7.45,9.25,12.05,13.95,15.45,15.55,14.05,11.55,9.05,6.95,5.65,5.45,6.35,7.85,10.35,12.55,14.25,14.35,12.85,10.55,8.15,5.95,3.55,3.25,3.95,5.15,7.55,10.05,12.05,12.25,3.85,6.05,8.55,10.75,68.34,66.35,66.53,64.84,64.52,66.04,68.25,68.42,67.54,67.28,66.91,68.4,249.9,173.2,199,111.1,101,105.4,122.1,150.9,190,234.1,227.5,220.1,NA
950323,7.55,7.45,9.05,10.95,13.85,16.15,18.05,18.05,16.35,13.35,10.15,8.05,5.85,5.55,6.95,8.25,11.15,13.65,15.55,15.65,13.95,11.35,8.55,6.45,3.65,3.15,4.25,5.15,7.95,10.75,12.85,13.05,4.25,6.35,9.15,11.45,68.35,67.13,66.62,64.74,64.92,65.7,66.6,66.88,66.42,67.29,67.76,68.56,122.6,93.4,92,72,77.1,70.9,83.1,80.9,94.9,144.3,136.3,137,NA
1010271,3.05,3.45,5.45,8.55,11.95,14.25,16.35,15.75,12.95,9.25,5.65,3.25,2.15,2.25,3.85,6.15,9.15,11.75,13.85,13.35,10.85,7.75,4.65,2.25,-1.15,-1.35,-0.25,1.45,4.35,7.35,9.55,9.25,-1.15,1.35,4.25,7.05,70.12,68.08,66.55,64.26,62.61,63.33,63.8,64.79,66.32,68.38,70.77,70.87,118.9,82,88.9,65.3,76.4,82.1,84.4,94.2,101,124.9,115.9,97.7,112
912563,4.25,4.85,6.65,9.35,12.45,14.45,16.45,16.05,13.55,10.05,6.65,4.25,3.15,3.45,4.85,6.95,9.65,12.05,14.05,13.75,11.55,8.55,5.55,3.05,-0.35,-0.35,0.75,2.25,4.85,7.75,9.95,9.75,-0.35,2.15,4.95,7.75,70.1,67.73,66.36,64.13,62.97,63.33,64.54,65.52,66.73,68.25,70.89,71.09,187.5,143.1,147.6,92.2,86.2,78.5,84.5,101.8,131.9,163.1,164.4,156.3,80
912585,1.95,2.25,4.25,7.35,10.95,13.35,15.35,14.65,11.95,8.25,4.75,2.35,1.05,1.15,2.65,5.05,8.15,10.85,12.85,12.35,9.95,6.75,3.75,1.25,-2.45,-2.55,-1.35,0.55,3.45,6.55,8.65,8.35,-2.05,0.45,3.35,6.15,73.32,70.68,68.56,65.08,63.5,63.26,64.35,65.71,67.86,71.15,73.77,74.1,126.7,85,89,63,72.7,71.6,77.6,86.1,96.1,126,122,99.4,139
912596,3.35,3.75,5.65,8.75,12.15,14.15,15.65,15.35,12.85,9.45,6.05,3.55,2.45,2.45,4.05,6.45,9.45,11.85,13.55,13.25,11.05,8.05,5.05,2.55,-0.85,-1.05,0.15,1.95,4.85,7.55,9.55,9.35,-0.55,1.95,4.85,7.45,74.83,71.86,69.33,66.12,64.42,64.9,66.77,67.9,69.51,71.65,73.94,75.59,394.5,275.7,293.9,152.3,142.7,143.5,161,188.7,263.7,325.3,312.2,311.8,96
925037,3.35,3.65,5.65,8.85,12.25,14.25,15.95,15.55,12.95,9.45,6.15,3.65,2.65,2.65,4.15,6.55,9.55,11.95,13.75,13.45,11.25,8.25,5.35,2.85,-0.55,-0.85,0.25,1.95,4.65,7.55,9.75,9.65,-0.35,2.15,4.95,7.65,73.75,70.83,69.22,65.42,63.69,64.13,66,67.05,68.54,70.5,72.88,74.51,252,180.3,180.9,95.9,94.2,92.3,95.2,115.9,155.5,204.9,211.9,204.8,91
925509,3.45,3.85,5.85,8.95,12.35,14.65,16.75,16.15,13.25,9.55,6.05,3.55,2.55,2.65,4.25,6.55,9.55,12.25,14.25,13.75,11.25,8.05,5.05,2.55,-0.85,-1.05,0.15,1.95,4.85,7.75,9.95,9.75,-0.85,1.75,4.65,7.45,69.78,67.54,66.04,63.72,62.06,62.62,63.27,64.25,65.89,68.03,70.33,70.65,117,80.5,87.2,62.9,74,79.3,81.7,91.6,98.3,121.2,112.9,96.1,100
945534,2.85,3.05,4.85,7.95,11.25,13.45,15.15,14.75,12.15,8.75,5.45,3.15,2.15,2.05,3.45,5.65,8.55,11.15,12.95,12.65,10.45,7.55,4.65,2.35,-1.05,-1.45,-0.45,1.15,3.85,6.75,8.85,8.85,-0.75,1.55,4.25,6.95,71.02,69.19,67.74,64.31,62.34,63.79,65.11,66.22,67.34,68.67,70.98,71.41,227.7,160.2,159.4,86.4,89.3,87.5,89.4,107.5,141.1,190.4,190.5,184.4,113
